model,regime,country,feature_set,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,best_val_qlike,n_features
Ridge,911,KR,momentum,static,Full Test,0.4625035077205635,0.20657687024175722,0.0685189966901995,0.32772724571073353,0.012774018491590534,14
Ridge,911,KR,momentum,static,Shock,0.922449216734303,0.31886839852236276,0.29490738177814185,0.6735166274545198,0.012774018491590534,14
Ridge,911,KR,momentum,static,Recovery,0.23689606403005456,0.17876153754839624,0.012441139833553223,0.16664505788494025,0.012774018491590534,14
Ridge,911,KR,momentum,expanding,Full Test,0.47052248835340377,0.2168095476798571,0.07226239180150609,0.33340944788290877,0.012774018491590534,14
Ridge,911,KR,momentum,expanding,Shock,0.9264036527648727,0.32680443708768386,0.3090558441271811,0.6764039174759943,0.012774018491590534,14
Ridge,911,KR,momentum,expanding,Recovery,0.25227754095711624,0.18956310718434038,0.013607132968540733,0.1774651916991554,0.012774018491590534,14
ElasticNet,911,KR,momentum,static,Full Test,0.46479916925528136,0.20652412197996856,0.07372996443870845,0.3293539378747889,0.012754534170000343,14
ElasticNet,911,KR,momentum,static,Shock,0.9279926538936369,0.3197024957046069,0.32117521791377407,0.6775641099959203,0.012754534170000343,14
ElasticNet,911,KR,momentum,static,Recovery,0.23713899727892263,0.17848911197478287,0.012436186054976572,0.1668159498137933,0.012754534170000343,14
ElasticNet,911,KR,momentum,expanding,Full Test,0.4730198644327269,0.21788403066563222,0.07941063758423386,0.3351790737783192,0.012754534170000343,14
ElasticNet,911,KR,momentum,expanding,Shock,0.934033308786654,0.330443082032073,0.3451407815258076,0.6819746308542554,0.012754534170000343,14
ElasticNet,911,KR,momentum,expanding,Recovery,0.2511333528611607,0.19000243078587167,0.013587574406045827,0.17666031006356356,0.012754534170000343,14
Huber,911,KR,momentum,static,Full Test,0.45628546383072016,0.20329887792623214,0.05925123965014357,0.3233211766459384,0.012310652611126814,14
Huber,911,KR,momentum,static,Shock,0.907800624924084,0.3088716435692321,0.24787814454402565,0.6628211116754453,0.012310652611126814,14
Huber,911,KR,momentum,static,Recovery,0.23586577620415308,0.177147825886223,0.01252714394248469,0.16592029964512534,0.012310652611126814,14
Huber,911,KR,momentum,expanding,Full Test,0.45803546100099196,0.20399079384513197,0.06201112427568328,0.3245612142738503,0.012310652611126814,14
Huber,911,KR,momentum,expanding,Shock,0.9115138030495772,0.30655132384568046,0.2623058601593006,0.6655322497661402,0.012310652611126814,14
Huber,911,KR,momentum,expanding,Recovery,0.23654957789846764,0.17858589191839064,0.012396831900842308,0.1664013214527161,0.012310652611126814,14
LightGBM,911,KR,momentum,static,Full Test,0.32843287281782463,0.2096281676196678,0.015302143320908356,0.23272558804998583,0.016986119801219845,14
LightGBM,911,KR,momentum,static,Shock,0.5435188872934682,0.28304604467614775,0.02499514341383786,0.39684461896309503,0.016986119801219845,14
LightGBM,911,KR,momentum,static,Recovery,0.24781473514390798,0.1914420879818241,0.012901124949265269,0.17432582112279585,0.016986119801219845,14
LightGBM,911,KR,momentum,expanding,Full Test,0.3337727497574635,0.2058653445003823,0.01556941615284633,0.23650939321610676,0.016986119801219845,14
LightGBM,911,KR,momentum,expanding,Shock,0.5605666851045724,0.28593552975155134,0.02690505330314481,0.40929188985775794,0.016986119801219845,14
