model,regime,country,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV
HAR_RV,911,US,static,Full Test,0.35853631412294096,0.24290179423825345,0.043867221109956854,0.3404905498316736
HAR_RV,911,US,static,Shock,0.6534143358788506,0.46865041177293437,0.0783075076837666,0.41462566636439774
HAR_RV,911,US,static,Recovery,0.24643386712456916,0.19159529025309868,0.036039883252272815,0.2638040180075948
HAR_RV,911,US,expanding,Full Test,0.3610242839538932,0.24493562003208627,0.044313782924055016,0.34285329575819934
HAR_RV,911,US,expanding,Shock,0.6579872040871108,0.47275540367432867,0.07888056486272299,0.4175273910801499
HAR_RV,911,US,expanding,Recovery,0.248120627152446,0.19315839647703117,0.036457696119812304,0.2656096710940011
GARCH,911,KR,static,Full Test,1.1468365016671367,0.9989933679255742,0.1534233872097209,0.8126415512484837
GARCH,911,KR,static,Shock,1.8769304751563298,1.7659197834452673,0.31177309127885566,1.3704211144211067
GARCH,911,KR,static,Recovery,0.876577909055596,0.8090207695858335,0.11419914858709113,0.616630660341816
GARCH,911,KR,expanding,Full Test,1.1779624537948585,1.0366936996087825,0.1623254982781632,0.8346972165367685
GARCH,911,KR,expanding,Shock,1.8364135779432518,1.653071014213354,0.2978771540236004,1.3408381265765479
GARCH,911,KR,expanding,Recovery,0.9465426871979745,0.8840130803948062,0.12874848263479804,0.6658475375878833
HAR_RV,911,KR,static,Full Test,0.4660298273655353,0.260917113099005,0.03656837173301129,0.3302259749213247
HAR_RV,911,KR,static,Shock,0.865458502352691,0.43343522331819423,0.11038275961818805,0.6319054546656083
HAR_RV,911,KR,static,Recovery,0.2923096805478814,0.2181832692832425,0.018284073816499623,0.20562588844468982
HAR_RV,911,KR,expanding,Full Test,0.467811519777943,0.2628793177261954,0.03707013287175967,0.3314884716100523
HAR_RV,911,KR,expanding,Shock,0.8708999774850004,0.4441451586630278,0.11268521761676252,0.6358784907016357
HAR_RV,911,KR,expanding,Recovery,0.29185696575130593,0.21797860483358558,0.01833979077896079,0.20530742522416487
GARCH,911,JP,static,Full Test,0.4134657852997032,0.34210289196416227,0.039527467528617834,0.30114882665598275
GARCH,911,JP,static,Shock,0.4728115715646002,0.3656426410159412,0.03678583129941633,0.27323863534480175
GARCH,911,JP,static,Recovery,0.3961415595326967,0.3358256255503546,0.040258570523071566,0.31005597850645084
GARCH,911,JP,expanding,Full Test,0.4295059784456967,0.3595794830910391,0.04236136671201689,0.3128317409792317
GARCH,911,JP,expanding,Shock,0.4690429233582422,0.36543175665339506,0.036469073728367,0.27106072694549516
GARCH,911,JP,expanding,Recovery,0.41833218611382084,0.3580188768077442,0.043932644840990194,0.3274243567356829
HAR_RV,911,JP,static,Full Test,0.2948407784888379,0.21318682944382164,0.021428787138248674,0.21474800974859234
HAR_RV,911,JP,static,Shock,0.43685404394261723,0.31328887218586426,0.031266652423521904,0.2524587171518282
HAR_RV,911,JP,static,Recovery,0.24335499251122875,0.18649295137927696,0.018805356395509145,0.19047148301356465
HAR_RV,911,JP,expanding,Full Test,0.2939860308537899,0.213769806948391,0.02136370192460604,0.21412545219598833
HAR_RV,911,JP,expanding,Shock,0.43467384733117276,0.3162530356236463,0.031049836302603915,0.2511987777114225
HAR_RV,911,JP,expanding,Recovery,0.24308606516916453,0.18644094596832297,0.018780732757139935,0.1902609963120703
GARCH,gfc,US,static,Full Test,0.7492599919081481,0.5418766699606027,0.07086286698767529,0.46352872527727074
GARCH,gfc,US,static,Pre-Lehman,0.46794351781643395,0.36897809071245413,0.0702828612311469,0.41974837797999787
GARCH,gfc,US,static,Lehman Crisis,1.2322175374221023,0.9801732756625948,0.08753642775379462,0.435698524030373
