regime,country,tier,model,feature,importance_raw,importance_norm,rank
normal,JP,momentum,XGBoost,RV_w,0.10036932677030563,0.293830544511653,3
normal,JP,momentum,XGBoost,RV_m,0.024567803367972374,0.07192208290473685,6
normal,JP,momentum,XGBoost,log_return,0.01911097764968872,0.055947261475698035,8
normal,JP,momentum,XGBoost,neg_return,0.018551278859376907,0.05430874694529582,9
normal,JP,momentum,XGBoost,semivariance,0.01753983646631241,0.05134775598660947,11
normal,JP,momentum,XGBoost,parkinson_rv,0.286393940448761,0.8384163785364117,2
normal,JP,momentum,XGBoost,hl_range,0.34158915281295776,1.0,1
normal,JP,momentum,XGBoost,weekday_sin,0.011864818632602692,0.034734178573578564,14
normal,JP,momentum,XGBoost,weekday_cos,0.014521808363497257,0.04251249854953354,12
normal,JP,momentum,XGBoost,momentum_1w,0.017540689557790756,0.05135025340630597,10
normal,JP,momentum,XGBoost,momentum_1m,0.019959207624197006,0.05843044915166252,7
normal,JP,momentum,XGBoost,momentum_3m,0.029847024008631706,0.08737696663621777,5
normal,JP,momentum,XGBoost,momentum_6m,0.01217428408563137,0.035640136653571027,13
911,KR,core,XGBoost,RV_d,0.10358111560344696,0.30489963356132926,3
911,KR,core,XGBoost,RV_w,0.06756646186113358,0.19888750321404725,4
911,KR,core,XGBoost,RV_m,0.05939614772796631,0.17483750364828907,5
911,KR,core,XGBoost,log_return,0.044982124119997025,0.1324086256562863,7
911,KR,core,XGBoost,neg_return,0.051025763154029846,0.15019858009072407,6
911,KR,core,XGBoost,semivariance,0.03243051841855049,0.0954619297582747,8
911,KR,core,XGBoost,parkinson_rv,0.2535931468009949,0.7464725310480693,2
911,KR,core,XGBoost,hl_range,0.33972200751304626,1.0,1
911,KR,core,XGBoost,weekday_sin,0.02515292540192604,0.07403972908926161,9
911,KR,core,XGBoost,weekday_cos,0.022549793124198914,0.06637719260308132,10
911,KR,extended,LightGBM,RV_d,116.0,0.6863905325443787,10
911,KR,extended,LightGBM,RV_w,146.0,0.863905325443787,4
911,KR,extended,LightGBM,RV_m,74.0,0.4378698224852071,17
911,KR,extended,LightGBM,log_return,160.0,0.9467455621301775,2
911,KR,extended,LightGBM,neg_return,37.0,0.21893491124260356,22
911,KR,extended,LightGBM,semivariance,8.0,0.047337278106508875,28
911,KR,extended,LightGBM,parkinson_rv,169.0,1.0,1
911,KR,extended,LightGBM,hl_range,98.0,0.5798816568047337,13
911,KR,extended,LightGBM,weekday_sin,39.0,0.23076923076923078,21
911,KR,extended,LightGBM,weekday_cos,36.0,0.21301775147928995,23
911,KR,extended,LightGBM,momentum_1w,140.0,0.8284023668639053,7
911,KR,extended,LightGBM,momentum_1m,86.0,0.5088757396449705,15
911,KR,extended,LightGBM,momentum_3m,65.0,0.38461538461538464,20
911,KR,extended,LightGBM,momentum_6m,68.0,0.40236686390532544,18
